Item Name/Purpose,Product Number,URL,Price,Quantity,Designator,Note
0.1uF 0603 Capacitor,C0603C104K3RACTU,https://www.digikey.ca/en/products/detail/kemet/C0603C104K3RACTU/416044,$0.10,1,C1,
1uF 0603 Capacitor,C0603C105K4RACTU,https://www.digikey.ca/en/products/detail/kemet/C0603C105K4RACTU/2199788,$0.10,1,C2,
2.54mm 1x7 Right Angled PinHeaders,PH1RB-07-UA,https://www.digikey.ca/en/products/detail/adam-tech/PH1RB-07-UA/9831064,$0.20,1,J2,
AS5600 IC,AS5600-ASOT,https://www.digikey.ca/en/products/detail/ams-osram-usa-inc/AS5600-ASOT/4914338,$3.19,1,U1,
10K 0603 Resistor,RC0603FR-0710KL,https://www.digikey.ca/en/products/detail/yageo/RC0603FR-0710KL/726880,$0.10,1,R1,
4.7K 0603 Resistors,RG1608P-472-B-T5,https://www.digikey.ca/en/products/detail/susumu/RG1608P-472-B-T5/1240593,$0.20,2,"R2, R3",
PCB,,https://jlcpcb.com/,$4.00,5,,MOQ: 5
M3 Machine Screws,,,,,,
Diametric Magnets,,https://www.aliexpress.com/item/1005011549598859.html,$5.32,10,,Pack of 10
3D Printing,,,,$15.00,1,
